dataname,newdataname,newdatabegin,newdataend,newdataemotion
Ses02M_impro04,Ses02M_impro04_F000,5.1157,6.9185,neu
Ses02M_impro04,Ses02M_impro04_F001,13.1185,16.2387,neu
Ses02M_impro04,Ses02M_impro04_F002,24.9578,28.1900,neu
Ses02M_impro04,Ses02M_impro04_F003,28.2000,31.7400,neu
Ses02M_impro04,Ses02M_impro04_F004,37.9351,40.8943,neu
Ses02M_impro04,Ses02M_impro04_F005,54.7510,61.4736,neu
Ses02M_impro04,Ses02M_impro04_F006,73.8543,79.1665,neu
Ses02M_impro04,Ses02M_impro04_F007,85.5106,89.9409,neu
Ses02M_impro04,Ses02M_impro04_F008,96.7713,103.3594,neu
Ses02M_impro04,Ses02M_impro04_F009,117.7600,119.5800,sad
Ses02M_impro04,Ses02M_impro04_F010,139.5605,145.0028,neu
Ses02M_impro04,Ses02M_impro04_F011,145.0661,155.5569,neu
Ses02M_impro04,Ses02M_impro04_F012,155.6450,159.2365,neu
Ses02M_impro04,Ses02M_impro04_F013,167.7833,174.1000,xxx
Ses02M_impro04,Ses02M_impro04_F014,174.1100,180.8000,neu
Ses02M_impro04,Ses02M_impro04_F015,180.8100,188.2546,neu
Ses02M_impro04,Ses02M_impro04_F016,196.1824,201.1541,neu
Ses02M_impro04,Ses02M_impro04_F017,203.2900,215.0474,xxx
Ses02M_impro04,Ses02M_impro04_M000,3.6516,6.4730,fru
Ses02M_impro04,Ses02M_impro04_M001,6.4730,9.4965,fru
Ses02M_impro04,Ses02M_impro04_M002,10.8729,13.3083,fru
Ses02M_impro04,Ses02M_impro04_M003,16.0012,20.9300,fru
Ses02M_impro04,Ses02M_impro04_M004,20.9900,26.2590,fru
Ses02M_impro04,Ses02M_impro04_M005,31.6000,37.9371,fru
Ses02M_impro04,Ses02M_impro04_M006,37.9705,41.5407,fru
Ses02M_impro04,Ses02M_impro04_M007,41.6743,54.6257,fru
Ses02M_impro04,Ses02M_impro04_M008,60.9668,66.3650,xxx
Ses02M_impro04,Ses02M_impro04_M009,66.4532,73.5619,fru
Ses02M_impro04,Ses02M_impro04_M010,78.9722,85.4061,fru
Ses02M_impro04,Ses02M_impro04_M011,88.3105,99.2349,fru
Ses02M_impro04,Ses02M_impro04_M012,103.4023,110.5203,fru
Ses02M_impro04,Ses02M_impro04_M013,110.7240,117.3947,fru
Ses02M_impro04,Ses02M_impro04_M014,117.9015,123.4099,sad
Ses02M_impro04,Ses02M_impro04_M015,123.5710,128.1600,fru
Ses02M_impro04,Ses02M_impro04_M016,128.1700,133.7877,fru
Ses02M_impro04,Ses02M_impro04_M017,133.8097,141.1249,fru
Ses02M_impro04,Ses02M_impro04_M018,157.4958,167.7000,fru
Ses02M_impro04,Ses02M_impro04_M019,167.7100,170.9900,ang
Ses02M_impro04,Ses02M_impro04_M020,188.6831,195.9884,fru
Ses02M_impro04,Ses02M_impro04_M021,201.2104,203.4798,xxx
Ses02M_impro04,Ses02M_impro04_M022,214.4085,217.5372,sad
Ses02M_script03_2,Ses02M_script03_2_F000,6.1870,9.2081,exc
Ses02M_script03_2,Ses02M_script03_2_F001,10.8543,13.8031,exc
Ses02M_script03_2,Ses02M_script03_2_F002,17.8192,22.7036,neu
Ses02M_script03_2,Ses02M_script03_2_F003,24.2956,28.6373,neu
Ses02M_script03_2,Ses02M_script03_2_F004,30.3559,33.9378,xxx
Ses02M_script03_2,Ses02M_script03_2_F005,35.0775,36.6876,neu
Ses02M_script03_2,Ses02M_script03_2_F006,37.1398,40.1248,neu
Ses02M_script03_2,Ses02M_script03_2_F007,40.7398,45.6966,neu
Ses02M_script03_2,Ses02M_script03_2_F008,47.2886,50.2012,fru
Ses02M_script03_2,Ses02M_script03_2_F009,53.9821,55.8816,neu
Ses02M_script03_2,Ses02M_script03_2_F010,57.0756,61.8515,xxx
Ses02M_script03_2,Ses02M_script03_2_F011,64.8002,69.1600,neu
Ses02M_script03_2,Ses02M_script03_2_F012,74.1892,76.9751,neu
Ses02M_script03_2,Ses02M_script03_2_F013,79.6525,81.9681,xxx
Ses02M_script03_2,Ses02M_script03_2_F014,82.0767,83.3611,ang
Ses02M_script03_2,Ses02M_script03_2_F015,90.8144,95.7350,neu
Ses02M_script03_2,Ses02M_script03_2_F016,97.3451,100.5290,xxx
Ses02M_script03_2,Ses02M_script03_2_F017,100.5652,102.8988,xxx
Ses02M_script03_2,Ses02M_script03_2_F018,104.8345,106.6979,fru
Ses02M_script03_2,Ses02M_script03_2_F019,106.7159,108.4345,ang
Ses02M_script03_2,Ses02M_script03_2_F020,111.4376,114.2054,xxx
Ses02M_script03_2,Ses02M_script03_2_F021,116.3039,118.6557,xxx
Ses02M_script03_2,Ses02M_script03_2_F022,121.4235,122.7622,xxx
Ses02M_script03_2,Ses02M_script03_2_F023,122.7984,129.6366,ang
Ses02M_script03_2,Ses02M_script03_2_F024,133.1281,136.6919,neu
Ses02M_script03_2,Ses02M_script03_2_F025,138.6095,140.7623,xxx
Ses02M_script03_2,Ses02M_script03_2_F026,146.1171,150.3864,xxx
Ses02M_script03_2,Ses02M_script03_2_F027,163.5925,169.4719,xxx
Ses02M_script03_2,Ses02M_script03_2_F028,172.6559,174.8086,ang
Ses02M_script03_2,Ses02M_script03_2_F029,177.8659,181.5202,xxx
Ses02M_script03_2,Ses02M_script03_2_F030,187.2368,189.1725,xxx
Ses02M_script03_2,Ses02M_script03_2_F031,191.2348,195.5404,xxx
Ses02M_script03_2,Ses02M_script03_2_F032,196.8791,199.3936,xxx
Ses02M_script03_2,Ses02M_script03_2_F033,201.7273,204.6218,xxx
Ses02M_script03_2,Ses02M_script03_2_F034,205.8520,211.0439,fru
Ses02M_script03_2,Ses02M_script03_2_F035,212.1475,216.3264,ang
Ses02M_script03_2,Ses02M_script03_2_F036,216.3625,218.4471,ang
Ses02M_script03_2,Ses02M_script03_2_F037,218.4791,224.3586,ang
Ses02M_script03_2,Ses02M_script03_2_F038,224.4490,230.9616,ang
Ses02M_script03_2,Ses02M_script03_2_F039,235.8460,240.0792,ang
Ses02M_script03_2,Ses02M_script03_2_F040,240.4772,242.5757,ang
Ses02M_script03_2,Ses02M_script03_2_F041,242.5938,254.0263,ang
Ses02M_script03_2,Ses02M_script03_2_F042,254.0651,257.9526,ang
Ses02M_script03_2,Ses02M_script03_2_M000,3.3467,7.2362,neu
Ses02M_script03_2,Ses02M_script03_2_M001,8.0684,11.7227,ang
Ses02M_script03_2,Ses02M_script03_2_M002,12.8624,19.3026,xxx
Ses02M_script03_2,Ses02M_script03_2_M003,21.6905,25.8152,ang
Ses02M_script03_2,Ses02M_script03_2_M004,27.8413,31.3147,xxx
Ses02M_script03_2,Ses02M_script03_2_M005,33.4132,36.0725,ang
